Respondent_ID,Gender,Age_Group,Income_TWD,Period_of_Use,Student_Status,FS1,FS2,FS3,FS4,FS5,US1,US2,US3,US4,US5,DS1,DS2,DS3,DS4,PS1,PS2,PS3,PS4,CSS1,CSS2,CSS3,CSS4,BIS1,BIS2,BIS3,BIS4,BIS5,GSS1,GSS2,GSS3,GSS4,CSO1,CSO2,CSO3,CSO4,CSO5,CLS1,CLS2,CLS3,CLS4
R103,Female,39-43,"Above 50,001",2 Years,No,4,5,6,6,5,5,4,4,5,5,5,5,4,5,4,3,3,3,4,4,3,4,5,4,6,5,5,3,2,2,3,5,5,5,4,5,6,5,6,5
R104,Male,23-28,"30,001-35,000",Less than 1 Year,No,5,5,5,6,5,5,4,4,4,5,4,4,4,4,3,3,3,3,3,3,3,4,5,5,5,6,5,2,2,3,2,6,5,5,4,5,5,5,5,4
R105,Female,39-43,"35,001-40,000",Less than 1 Year,No,3,4,3,4,4,4,6,5,4,4,4,3,3,3,4,3,4,3,6,6,6,6,5,5,5,4,4,3,2,2,2,4,4,4,4,4,4,4,3,3
R106,Female,34-38,"Above 50,001",Less than 1 Year,Yes,4,4,3,5,4,4,4,4,5,4,5,4,4,4,3,3,3,3,4,4,4,3,5,3,4,4,4,3,3,3,3,3,3,3,2,3,3,4,3,2
R107,Male,Above 53,"Above 50,001",2 Years,No,6,5,4,5,5,4,5,5,6,4,4,3,3,4,4,3,4,4,5,5,5,5,5,5,6,5,5,2,3,3,3,5,5,5,4,5,4,5,4,5
R108,Male,29-33,"40,001-50,000",Less than 1 Year,No,4,4,4,5,5,3,4,4,5,4,4,4,4,4,3,4,3,3,5,6,5,5,3,3,2,3,3,1,2,2,2,3,3,3,2,2,4,4,4,4
R109,Male,39-43,"Above 50,001",2 Years,No,4,4,4,5,5,6,6,5,6,6,5,5,4,5,4,4,4,4,3,4,4,3,5,5,4,6,5,1,3,1,2,4,4,4,2,4,4,4,4,4
R110,Male,39-43,"35,001-40,000",Less than 1 Year,No,5,5,5,5,6,6,6,6,6,5,6,6,6,6,4,4,4,5,3,4,4,3,5,6,5,5,6,6,5,5,6,6,5,6,5,6,6,6,6,6
R111,Female,44-48,"20,001-25,000",1 Year,No,3,2,2,3,2,5,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,1,3,3,3,4,4,2,2,3,1,3,4,2,1,3,3,3,2,3
R112,Male,49-53,"Above 50,001",Less than 1 Year,No,4,4,4,5,4,5,4,3,4,4,6,5,5,6,4,4,4,5,5,3,5,4,3,4,4,4,3,1,2,2,2,4,4,5,2,5,4,5,4,4
R113,Male,34-38,"25,001-30,000",1 Year,No,5,4,4,4,4,4,4,5,4,5,5,6,6,5,3,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,5,4,4,4,4,5,6,5,5,5
R114,Male,39-43,"25,001-30,000",Less than 1 Year,No,3,4,2,2,3,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4,5,3,3,3,3,3,3,4,3,3,4
R115,Male,34-38,"Under 20,000",2 Years,Yes,4,4,4,5,4,5,5,5,5,5,5,5,5,6,4,4,5,5,3,4,3,3,5,6,5,5,6,4,3,3,2,5,5,5,5,4,5,4,5,6
R116,Female,39-43,"Under 20,000",2 Years,No,4,5,3,5,5,5,5,4,4,4,3,4,3,3,3,2,3,3,3,4,3,3,5,4,4,4,5,2,2,1,2,5,4,4,4,4,5,6,6,6
R117,Female,29-33,"Above 50,001",1 Year,No,5,5,6,5,5,5,4,6,4,5,5,5,5,5,6,6,6,6,5,5,4,5,5,6,5,6,5,2,2,1,2,6,6,6,5,6,6,5,6,6
R118,Male,18-22,"25,001-30,000",Less than 1 Year,No,4,5,5,4,4,5,5,5,6,5,5,5,6,5,3,3,3,3,5,4,4,4,6,6,5,5,6,2,2,1,3,5,4,5,3,3,3,4,4,3
R119,Female,23-28,"25,001-30,000",Less than 1 Year,No,5,6,5,5,5,5,5,5,4,5,5,5,6,5,4,5,4,4,5,5,6,6,6,6,6,6,5,2,2,2,3,5,5,5,3,5,6,6,6,6
R120,Male,18-22,"20,001-25,000",Less than 1 Year,No,5,5,5,5,6,5,5,6,6,5,4,4,4,4,5,5,5,4,6,5,5,6,5,6,6,6,4,3,2,3,3,4,5,5,4,4,4,4,3,4
R121,Female,29-33,"30,001-35,000",Less than 1 Year,No,5,4,4,4,4,5,5,5,5,5,5,4,5,5,3,3,4,4,5,5,5,5,5,5,4,4,4,3,3,2,3,6,5,5,5,5,6,6,6,6
R122,Female,39-43,"25,001-30,000",Less than 1 Year,No,3,4,4,5,3,5,5,5,4,5,3,4,4,3,3,4,4,4,5,6,6,6,5,4,4,4,5,3,3,3,3,4,5,5,5,5,6,5,6,5
R123,Female,18-22,"40,001-50,000",Less than 1 Year,Yes,4,4,5,3,3,4,4,4,4,3,5,6,6,5,4,3,4,3,4,5,5,5,4,4,4,4,5,3,3,3,3,4,5,4,3,4,5,4,4,5
R124,Male,34-38,"30,001-35,000",Less than 1 Year,No,6,5,6,5,5,6,5,6,5,5,5,5,5,5,4,3,3,3,6,6,5,6,5,6,6,5,6,3,4,4,3,4,5,6,4,6,5,5,5,6
R125,Male,34-38,"25,001-30,000",Less than 1 Year,No,4,3,4,3,4,5,4,3,4,4,3,4,3,4,3,3,3,4,5,5,5,5,4,4,4,4,3,2,3,2,2,2,1,2,1,2,2,2,2,2
R126,Male,44-48,"Above 50,001",1 Year,No,3,3,4,4,5,4,6,5,5,3,4,4,3,4,3,3,3,2,4,4,4,4,4,4,4,4,4,2,2,2,2,4,5,5,4,4,4,5,5,3
R127,Male,23-28,"Above 50,001",Less than 1 Year,No,6,5,5,6,6,6,6,6,6,6,4,4,4,5,4,3,4,4,4,4,3,4,6,6,6,6,6,6,5,5,4,6,6,5,5,6,6,6,6,6
R128,Female,23-28,"25,001-30,000",Less than 1 Year,Yes,4,5,3,4,5,4,4,4,3,4,2,3,3,3,4,3,4,3,4,4,4,4,4,4,4,3,4,2,2,3,1,4,4,4,4,4,3,4,4,4
R129,Female,34-38,"Under 20,000",Less than 1 Year,No,5,6,6,6,6,5,4,4,5,5,4,4,5,5,6,5,5,5,4,4,4,4,5,4,6,5,5,3,3,3,3,5,5,5,4,5,4,6,5,5
R130,Male,44-48,"25,001-30,000",Less than 1 Year,Yes,5,4,5,4,4,4,4,4,5,4,5,6,5,6,5,5,3,5,5,5,5,5,4,4,5,4,4,4,3,3,3,4,4,5,3,4,4,5,4,5
R131,Male,23-28,"20,001-25,000",2 Years,No,4,4,4,4,5,5,5,5,5,4,5,4,5,5,3,4,4,3,4,4,4,4,5,5,5,4,4,3,4,4,4,4,3,3,3,3,5,5,4,5
R132,Male,29-33,"30,001-35,000",1 Year,No,4,4,3,4,4,4,4,4,4,4,4,3,4,3,5,5,4,5,4,4,5,5,4,4,5,4,4,1,2,2,2,4,5,5,3,4,5,5,5,5
R133,Male,18-22,"Above 50,001",Less than 1 Year,Yes,4,3,4,5,4,4,5,4,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,5,1,2,1,1,5,5,5,5,5,6,5,6,5
R134,Female,23-28,"25,001-30,000",Less than 1 Year,Yes,4,4,3,4,6,4,4,4,3,4,5,5,5,5,3,2,2,2,4,4,4,4,5,4,4,4,4,3,2,3,2,4,4,4,4,4,5,4,5,4
R135,Male,18-22,"30,001-35,000",2 Years,No,5,5,6,6,6,6,4,6,5,5,6,6,6,6,3,3,3,3,4,5,5,5,5,4,4,4,5,1,2,1,2,4,4,5,4,5,5,6,5,6
R136,Female,23-28,"25,001-30,000",Less than 1 Year,Yes,4,3,4,4,4,4,4,5,4,4,4,4,3,3,4,5,5,4,5,4,4,4,5,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,4,3
R137,Female,29-33,"Under 20,000",Less than 1 Year,Yes,4,4,5,4,4,5,6,4,4,4,5,4,4,4,4,4,4,4,3,2,3,2,5,5,5,5,4,1,2,2,3,4,4,4,4,4,3,5,4,4
R138,Female,39-43,"20,001-25,000",Less than 1 Year,Yes,4,4,4,3,3,4,4,5,4,4,5,5,5,5,3,2,3,4,4,4,4,4,6,5,5,5,5,5,5,5,5,4,4,4,3,3,3,4,4,4
R139,Male,23-28,"25,001-30,000",Less than 1 Year,Yes,5,5,5,5,5,6,6,5,6,6,3,3,3,3,4,4,5,3,5,4,5,5,5,5,5,4,4,4,3,3,3,5,5,5,4,6,5,5,4,5
R140,Female,23-28,"35,001-40,000",Less than 1 Year,No,5,5,5,5,5,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,6,6,6,6,5,3,4,3,3,5,6,5,4,5,6,5,5,5
R141,Female,18-22,"20,001-25,000",Less than 1 Year,No,4,4,4,5,4,6,5,5,6,6,5,5,4,5,5,5,4,5,5,5,5,4,5,4,4,4,5,3,3,3,3,6,6,5,4,6,6,6,6,6
R142,Female,29-33,"25,001-30,000",1 Year,Yes,4,4,3,4,4,5,6,6,6,6,4,4,4,4,4,3,4,3,4,3,4,3,4,4,4,4,4,4,5,5,5,5,5,4,4,5,4,5,3,4
R143,Female,39-43,"30,001-35,000",1 Year,Yes,4,5,4,5,4,6,6,5,5,4,4,5,4,4,5,5,5,5,4,4,4,3,5,4,5,4,4,2,2,2,3,4,5,5,3,5,5,5,5,4
R144,Female,34-38,"Under 20,000",1 Year,Yes,3,3,3,4,4,4,5,5,4,4,5,5,5,5,4,4,3,3,5,5,5,5,5,5,5,5,4,2,1,2,1,3,3,3,2,4,3,2,3,4
R145,Male,39-43,"25,001-30,000",1 Year,Yes,6,5,6,5,5,4,4,5,4,5,4,5,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,3,3,5,4,5,5,5
R146,Female,29-33,"35,001-40,000",2 Years,Yes,4,5,5,5,5,5,6,6,4,5,6,5,5,5,4,4,4,4,5,5,5,5,5,4,6,5,5,1,1,2,1,5,5,5,5,5,6,5,6,6
R147,Female,39-43,"40,001-50,000",3 Years,No,5,5,5,4,4,4,6,5,5,5,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,3,4,4,4,4,5,4,4,4,5,6,5,4
R148,Male,18-22,"40,001-50,000",Less than 1 Year,Yes,5,4,5,6,5,4,5,4,4,3,4,3,4,4,5,5,4,5,5,4,5,5,3,5,5,4,4,2,2,2,2,5,5,5,3,4,6,5,5,5
R149,Male,23-28,"25,001-30,000",Less than 1 Year,No,3,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4,3,5,5,5,4,4,4,3,4,5,4,4,4,5,3,4,4,3,4,4,4,4,3
R150,Male,39-43,"30,001-35,000",Less than 1 Year,No,5,4,5,4,5,5,4,5,5,4,5,4,5,5,5,4,4,5,4,3,4,4,5,5,4,5,4,5,3,4,4,5,5,4,4,5,5,5,5,4
R151,Female,23-28,"Under 20,000",Less than 1 Year,Yes,5,5,6,6,6,5,6,6,5,6,4,4,4,4,5,4,4,4,5,4,5,4,4,5,5,5,5,4,3,3,3,5,6,6,4,6,5,6,5,6
R152,Male,49-53,"40,001-50,000",Less than 1 Year,No,5,5,5,5,4,5,6,4,4,4,4,4,4,4,4,5,4,4,6,5,5,5,5,5,6,4,6,5,4,5,4,5,6,6,4,5,5,6,6,6
R153,Male,44-48,"30,001-35,000",Less than 1 Year,No,5,5,5,6,5,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,2,2,2,2,5,5,5,4,6,4,4,4,6
R154,Female,39-43,"25,001-30,000",1 Year,No,5,5,3,4,5,4,4,4,4,5,5,6,5,5,6,5,6,6,5,5,5,4,5,6,5,5,5,1,2,2,2,6,6,5,5,5,6,6,5,6
R155,Female,23-28,"25,001-30,000",Less than 1 Year,No,4,3,4,4,4,4,4,5,5,5,4,4,4,5,4,5,5,4,5,4,4,3,5,5,5,5,5,2,1,1,2,5,4,4,3,5,4,5,4,4
R156,Female,Above 53,"25,001-30,000",Less than 1 Year,No,5,5,5,6,5,4,3,3,3,3,4,4,4,4,3,4,3,4,5,5,5,5,4,5,4,5,5,2,2,2,2,5,4,4,3,5,5,4,4,4
R157,Female,29-33,"40,001-50,000",Less than 1 Year,No,5,5,6,5,5,4,4,4,4,5,4,5,5,4,4,3,4,3,3,3,4,3,6,5,5,5,5,5,4,4,4,4,4,4,3,4,4,5,4,5
R158,Male,39-43,"30,001-35,000",Less than 1 Year,No,5,4,5,4,4,4,4,4,3,5,3,3,3,3,5,5,5,5,3,5,4,5,5,4,4,5,5,4,4,4,4,5,4,5,3,5,4,4,4,4
R159,Male,34-38,"Above 50,001",Less than 1 Year,No,4,4,4,5,5,5,4,3,4,4,3,3,3,3,4,4,4,5,3,4,3,4,4,4,4,4,4,3,3,4,4,4,5,5,4,4,5,4,5,5
R160,Female,23-28,"Above 50,001",Less than 1 Year,No,6,6,6,6,5,6,6,6,6,6,5,5,5,5,5,5,5,5,3,4,4,4,5,5,6,6,6,5,4,6,5,6,5,6,4,6,6,5,5,6
R161,Male,18-22,"20,001-25,000",1 Year,No,4,3,4,4,3,4,3,4,5,4,4,3,3,4,3,3,3,3,3,3,3,3,4,4,4,3,3,1,2,1,2,4,4,4,2,3,3,2,2,2
R162,Female,18-22,"Under 20,000",Less than 1 Year,Yes,5,5,4,4,5,3,3,3,4,3,4,4,4,4,4,4,4,3,5,3,3,4,4,4,4,4,5,3,2,2,2,4,5,5,4,4,5,5,5,5
R163,Male,23-28,"40,001-50,000",Less than 1 Year,No,5,5,5,5,4,5,4,3,4,5,5,4,5,4,4,4,5,4,5,5,5,5,3,4,5,5,4,2,2,3,3,5,5,5,4,5,5,6,5,5
R164,Female,29-33,"Under 20,000",Less than 1 Year,Yes,3,4,4,4,4,4,5,5,4,4,4,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,5,5,6,6,6,4,4,4,2,4,6,5,6,5
R165,Male,34-38,"Above 50,001",Less than 1 Year,Yes,3,3,3,2,3,4,5,4,4,4,2,2,2,2,4,3,4,4,5,5,6,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3
R166,Female,18-22,"Above 50,001",Less than 1 Year,No,5,5,5,6,4,5,5,4,6,4,5,4,5,5,5,5,5,5,4,4,4,4,6,6,5,6,6,2,2,3,2,5,5,5,4,6,5,4,5,5
R167,Female,34-38,"35,001-40,000",Less than 1 Year,No,4,5,4,4,5,5,5,6,5,4,3,4,3,3,3,3,3,4,4,4,3,4,6,6,6,6,5,2,2,3,3,5,4,5,3,4,4,4,5,5
R168,Male,23-28,"40,001-50,000",2 Years,No,5,4,3,4,5,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,3,5,4,4,4,5,2,2,2,3,4,5,5,4,5,5,5,5,6
R169,Male,29-33,"35,001-40,000",Less than 1 Year,No,5,5,5,5,4,6,6,6,5,4,4,4,4,4,3,3,3,3,4,4,4,5,5,4,4,5,5,3,3,3,2,4,3,3,2,4,3,3,4,4
R170,Male,39-43,"30,001-35,000",2 Years,No,5,5,5,4,5,5,5,5,4,5,5,5,6,5,5,6,6,6,5,4,4,4,6,6,6,6,6,4,4,4,4,5,5,5,4,6,6,5,6,6
R171,Female,34-38,"30,001-35,000",Less than 1 Year,No,6,4,5,5,5,4,5,5,5,5,4,3,4,4,5,6,6,6,4,3,5,4,5,5,6,6,6,3,3,3,3,5,5,6,4,5,5,6,5,4
R172,Female,23-28,"30,001-35,000",Less than 1 Year,No,6,5,5,5,4,4,5,4,4,3,4,4,4,5,3,3,2,3,6,5,5,5,5,5,6,5,6,3,4,3,4,5,4,4,4,4,6,6,6,6
R173,Female,18-22,"20,001-25,000",1 Year,Yes,4,4,5,5,5,5,6,5,5,5,5,5,5,4,5,4,4,4,3,4,4,4,4,5,5,5,5,5,4,4,4,5,5,5,4,6,6,6,6,6
R174,Female,23-28,"Under 20,000",Less than 1 Year,No,4,5,4,5,5,5,6,4,4,4,5,5,5,5,5,5,4,4,6,5,6,5,5,5,4,4,4,1,2,2,3,3,4,3,2,3,3,4,4,2
R175,Male,23-28,"Under 20,000",1 Year,Yes,4,4,4,4,5,3,3,4,3,3,4,3,4,4,2,2,2,3,3,4,3,4,4,3,3,3,2,2,1,1,1,3,3,4,2,4,3,4,4,4
R176,Male,23-28,"30,001-35,000",1 Year,No,4,4,4,3,5,5,4,5,5,4,5,4,5,5,5,5,6,5,3,3,3,3,5,4,4,5,4,3,3,4,3,5,5,5,4,6,5,6,5,6
R177,Male,34-38,"Above 50,001",Less than 1 Year,No,5,5,5,6,4,5,5,5,4,5,4,4,5,5,6,5,5,5,5,5,5,5,5,5,4,5,5,3,3,2,3,5,6,5,5,5,5,6,5,5
R178,Male,39-43,"Above 50,001",1 Year,No,4,3,3,4,4,5,4,5,4,5,4,5,4,4,4,4,3,4,4,4,5,4,5,5,6,5,5,2,2,3,1,4,4,4,3,3,4,4,4,4
R179,Female,39-43,"30,001-35,000",3 Years,No,6,6,5,6,5,6,5,5,6,5,4,5,4,4,4,4,4,4,5,5,5,6,6,5,5,5,5,3,4,4,4,4,4,5,4,4,5,6,5,5
R180,Male,23-28,"30,001-35,000",Less than 1 Year,No,6,6,5,6,5,5,6,5,6,5,5,4,5,4,4,5,5,5,5,6,6,6,6,6,6,5,5,3,3,4,3,5,5,6,5,5,6,6,6,5
R181,Female,29-33,"Above 50,001",Less than 1 Year,No,4,5,5,6,5,5,4,4,4,4,4,3,4,3,3,3,3,2,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,3,4,4,4,4,4
R182,Female,49-53,"25,001-30,000",1 Year,Yes,5,4,6,5,5,4,3,5,5,4,4,5,4,4,3,3,2,2,3,4,4,4,5,5,4,4,5,4,4,3,3,4,4,4,3,5,4,5,4,5
R183,Male,18-22,"30,001-35,000",Less than 1 Year,Yes,3,4,4,5,4,4,5,4,3,5,4,3,3,3,4,5,5,4,5,4,4,5,4,4,4,4,3,3,3,3,3,2,3,2,2,2,2,3,3,3
R184,Female,29-33,"Above 50,001",Less than 1 Year,No,5,5,4,5,4,5,5,5,4,4,4,5,5,4,6,5,6,5,3,3,3,3,4,4,4,4,5,3,3,3,3,4,5,4,2,5,2,4,4,4
R185,Female,18-22,"25,001-30,000",2 Years,No,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3
R186,Female,23-28,"Under 20,000",1 Year,No,5,4,6,4,5,4,4,4,4,3,5,5,5,5,5,5,6,6,5,5,5,5,3,3,3,4,3,2,1,2,2,4,5,4,4,5,6,5,6,4
R187,Female,18-22,"Above 50,001",Less than 1 Year,No,5,5,4,4,5,5,6,6,6,6,5,4,5,5,4,3,4,4,5,5,5,5,5,5,5,4,5,3,3,3,3,4,3,4,3,4,4,4,4,4
R188,Male,39-43,"25,001-30,000",Less than 1 Year,Yes,6,6,6,6,5,4,6,6,6,5,4,5,5,6,3,4,4,4,5,5,4,4,6,6,6,6,6,4,2,3,3,5,5,5,4,5,5,4,5,4
R189,Male,23-28,"35,001-40,000",3 Years,Yes,4,4,4,5,4,4,5,2,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,4,4,3,4,4,3,4,4
R190,Male,29-33,"35,001-40,000",1 Year,Yes,4,4,4,4,5,4,4,4,4,4,3,4,4,4,3,4,3,3,5,5,6,6,5,5,5,5,5,4,3,4,4,3,4,3,2,4,3,3,5,4
R191,Male,18-22,"Under 20,000",1 Year,Yes,4,5,5,4,4,3,3,3,3,4,4,5,4,5,3,3,3,3,4,5,5,5,3,4,5,4,4,1,2,3,1,4,4,4,3,4,5,5,4,4
R192,Male,39-43,"30,001-35,000",Less than 1 Year,Yes,6,5,5,5,5,4,4,4,4,4,4,5,4,4,4,3,4,4,5,4,4,3,6,5,4,5,5,1,2,1,1,5,5,4,4,4,5,5,4,5
R193,Female,23-28,"25,001-30,000",Less than 1 Year,No,4,4,4,3,4,4,5,3,5,4,5,5,4,5,4,5,5,5,4,3,4,3,5,5,4,4,5,5,4,4,4,6,6,5,5,5,6,6,6,6
R194,Female,34-38,"35,001-40,000",1 Year,No,5,5,4,5,4,6,4,4,6,5,5,5,5,4,4,4,4,4,4,5,4,5,5,6,6,6,5,3,4,4,3,4,4,5,4,5,5,4,4,5
R195,Male,18-22,"20,001-25,000",Less than 1 Year,No,6,5,6,5,6,5,3,4,4,4,5,5,5,5,3,4,4,4,4,4,4,4,5,4,4,4,3,2,2,2,3,4,3,3,3,4,3,2,3,2
R196,Male,18-22,"25,001-30,000",Less than 1 Year,No,5,5,4,6,5,4,4,5,4,5,6,6,6,6,4,4,4,4,4,5,5,4,6,5,5,6,6,3,2,3,3,6,5,5,4,6,5,5,5,5
R197,Female,39-43,"30,001-35,000",1 Year,No,5,6,5,5,6,4,5,5,4,4,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,5,4,2,2,2,3,5,4,4,3,4,5,6,5,5
R198,Male,23-28,"Under 20,000",1 Year,No,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,4,3,4,4,4,5,6,5,5,4,2,3,1,2,5,5,5,4,5,4,5,4,4
R199,Male,29-33,"Under 20,000",Less than 1 Year,No,4,4,3,4,4,4,4,3,4,3,5,5,6,5,4,4,4,4,3,4,3,4,4,4,4,4,4,5,5,4,5,5,4,4,3,5,4,5,5,4
R200,Male,18-22,"Under 20,000",1 Year,No,4,5,5,4,5,4,4,4,4,4,3,3,4,4,5,6,5,6,4,4,5,4,6,4,5,4,6,4,2,3,3,5,5,4,4,5,4,4,4,3
R201,Male,34-38,"25,001-30,000",2 Years,Yes,5,5,4,5,4,5,3,4,5,3,3,3,3,3,4,3,4,4,4,4,4,4,4,5,4,4,4,3,2,3,2,4,4,4,3,4,5,4,5,4
R202,Female,23-28,"30,001-35,000",2 Years,No,5,6,5,6,5,5,4,5,6,5,4,4,5,5,4,4,3,3,5,5,4,5,6,6,6,6,5,2,2,3,2,6,6,6,5,6,6,6,6,6
R203,Male,23-28,"Under 20,000",Less than 1 Year,No,4,5,5,5,5,4,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,3,4,4,5,4,5,5,2,3,3,5,4,5,4,4,5,5,4,5
R204,Female,18-22,"Under 20,000",1 Year,Yes,6,5,5,6,5,4,5,5,4,5,5,4,5,5,3,3,3,3,5,5,5,5,6,5,6,6,6,2,2,3,3,5,4,5,4,5,5,4,5,6
R205,Male,23-28,"Under 20,000",2 Years,Yes,4,3,4,2,4,3,3,2,3,3,3,3,4,3,3,3,3,3,3,2,3,4,3,4,4,4,4,3,2,3,2,4,4,3,2,4,4,4,3,3
R206,Female,18-22,"30,001-35,000",Less than 1 Year,Yes,2,3,3,3,3,3,3,2,3,4,3,3,3,3,3,4,4,4,3,3,3,3,3,3,2,3,3,3,2,3,2,3,4,3,2,3,4,4,5,4
R207,Male,29-33,"Above 50,001",Less than 1 Year,No,4,5,5,5,5,4,4,4,5,5,5,5,5,4,4,3,4,4,4,5,4,5,6,6,6,6,6,3,2,2,2,4,4,4,3,5,4,5,5,4
R208,Female,29-33,"35,001-40,000",2 Years,Yes,4,4,5,5,4,3,3,3,4,3,4,4,3,4,3,4,3,4,5,4,4,4,5,5,5,5,4,1,2,2,1,3,4,4,4,4,4,5,4,4
